__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.633284,3.594045271,0.066618131,-0.001105199,0.217018423
1719597316.634096,3.594272483,0.066667905,-0.001104948,0.21710641
1719597316.635083,3.594499482,0.066713675,-0.001104996,0.21719481
1719597316.636047,3.594726805,0.066757398,-0.001105199,0.217282988
1719597316.637078,3.594954715,0.066800798,-0.001105462,0.217370906
1719597316.638105,3.595183401,0.066845054,-0.001105715,0.217458536
1719597316.639029,3.595413015,0.066890871,-0.001105903,0.217545838
1719597316.640033,3.595644861,0.066936275,-0.001106239,0.217632836
1719597316.641037,3.595880198,0.066985739,-0.001107379,0.217725503
1719597316.642029,3.596117989,0.067041147,-0.001109108,0.217818669
1719597316.643023,3.596357665,0.067100689,-0.00111121,0.217911552
1719597316.643988,3.596598849,0.067162423,-0.001113529,0.218004009
1719597316.645021,3.596841237,0.06722483,-0.001115949,0.218095964
1719597316.645991,3.597084549,0.067286861,-0.001118383,0.218187354
1719597316.64702,3.597328507,0.067347868,-0.001120757,0.218278116
1719597316.647983,3.597572841,0.067407522,-0.001123002,0.218368187
1719597316.649009,3.597817288,0.067465727,-0.00112506,0.218457506
1719597316.649978,3.598061605,0.067522552,-0.001126871,0.218546018
1719597316.651011,3.598305585,0.067578143,-0.001128382,0.218633658
1719597316.651978,3.598547282,0.067636022,-0.001129729,0.218720614
1719597316.653022,3.598785536,0.067690086,-0.001131679,0.218812235
1719597316.654059,3.599021223,0.06774028,-0.001134033,0.218906508
1719597316.655108,3.599255476,0.067787248,-0.001136554,0.219000396
1719597316.65609,3.599488769,0.067832682,-0.001139076,0.219093269
1719597316.657026,3.59972136,0.067878044,-0.00114148,0.219185101
1719597316.658006,3.599953478,0.067924273,-0.001143675,0.219275853
1719597316.659011,3.600185343,0.067971923,-0.001145588,0.219365524
1719597316.659983,3.600417161,0.068021249,-0.001147154,0.21945415
1719597316.661009,3.600649125,0.068072277,-0.001148313,0.219541774
1719597316.661992,3.600881413,0.068124862,-0.001149012,0.21962842
1719597316.663056,3.601114177,0.068178768,-0.001149204,0.219714107
1719597316.66409,3.601348832,0.068230782,-0.001149103,0.219799127
1719597316.665031,3.601586696,0.06828574,-0.001149431,0.219889749
1719597316.666046,3.601826673,0.068345665,-0.001149981,0.219980462
1719597316.667039,3.602068162,0.068408783,-0.001150538,0.220070508
1719597316.667996,3.602310778,0.068473206,-0.001150957,0.220159788
1719597316.669049,3.602554224,0.068537518,-0.001151138,0.220248271
1719597316.670034,3.602796378,0.068604466,-0.001151193,0.220336362
1719597316.671064,3.603035979,0.068666904,-0.001151908,0.220429498
1719597316.672006,3.603273819,0.068724195,-0.001153089,0.220525541
1719597316.673069,3.603510916,0.068776745,-0.001154504,0.220621309
1719597316.674001,3.603747578,0.068826285,-0.001155991,0.220716111
1719597316.675032,3.603983936,0.068874344,-0.001157434,0.220809717
1719597316.676045,3.604220091,0.068922081,-0.001158742,0.220902041
1719597316.677052,3.604456126,0.068970301,-0.00115984,0.220993052
1719597316.678034,3.604692127,0.069019496,-0.001160662,0.22108275
1719597316.679013,3.604928181,0.069069908,-0.001161147,0.221171152
1719597316.680043,3.605164373,0.069121591,-0.001161241,0.221258288
1719597316.68106,3.605400782,0.069174469,-0.001160895,0.221344189
1719597316.682078,3.605637479,0.069228378,-0.001160063,0.221428884
1719597316.683036,3.605874522,0.069283114,-0.001158704,0.2215124
