__time,/effort_controller/commands/data[1],/joint_states/front_left_wheel_joint/effort,/joint_states/front_left_motor_joint/position,/joint_states/front_left_motor_joint/velocity
1718737782.000327,0.0,0.0,-0.010626723,0.001031235
1718737782.001441,0.0,0.0,-0.010626617,0.000637447
1718737782.002561,0.0,0.0,-0.010626969,-3.1446e-05
1718737782.003121,0.0,0.0,-0.010627977,-0.000953107
1718737782.004235,0.0,0.0,-0.010629821,-0.002098097
1718737782.005346,0.0,0.0,-0.010633795,-0.001870689
1718737782.006465,0.0,0.0,-0.010641189,-0.010202069
1718737782.007024,0.0,0.0,-0.010643313,-0.010197562
1718737782.008159,0.0,0.0,-0.010642765,-0.010672982
1718737782.009259,0.0,0.0,-0.010646388,-0.014713785
1718737782.010349,0.0,0.0,-0.010646149,-0.009812468
1718737782.011463,0.0,0.0,-0.010648984,-0.014780353
1718737782.012153,0.0,0.0,-0.010655736,-0.019708915
1718737782.013169,0.0,0.0,-0.010666939,-0.023720989
1718737782.014285,0.0,0.0,-0.010682673,-0.026851898
1718737782.015408,0.0,0.0,-0.010702602,-0.029206167
1718737782.016523,0.0,0.0,-0.010726088,-0.030871002
1718737782.017087,0.0,0.0,-0.010752326,-0.031918755
1718737782.0182,0.0,0.0,-0.010780449,-0.032416672
1718737782.019312,0.0,0.0,-0.010809612,-0.032433044
1718737782.020423,0.0,0.0,-0.010839052,-0.032039453
1718737782.020994,0.0,0.0,-0.010868124,-0.03131042
1718737782.022146,0.0,0.0,-0.010896323,-0.030321631
1718737782.023275,0.0,0.0,-0.010923287,-0.029147567
1718737782.024365,0.0,0.0,-0.01094879,-0.027859035
1718737782.025477,0.0,0.0,-0.01097273,-0.026520937
1718737782.026037,0.0,0.0,-0.010995104,-0.025190419
1718737782.027149,0.0,0.0,-0.011015994,-0.023915502
1718737782.02826,0.0,0.0,-0.011035536,-0.022734217
1718737782.029371,0.0,0.0,-0.011053908,-0.021674242
1718737782.030483,0.0,0.0,-0.011071308,-0.02075299
1718737782.031044,0.0,0.0,-0.011087935,-0.019978106
1718737782.032155,0.0,0.0,-0.011103985,-0.019348299
1718737782.033268,0.0,0.0,-0.011116586,-0.017706283
1718737782.034342,0.0,0.0,-0.0111129,0.002819892
1718737782.035455,0.0,0.0,-0.01110619,0.010139724
1718737782.036028,0.0,0.0,-0.011098648,0.013558096
1718737782.037131,0.0,0.0,-0.011090671,0.015143414
1718737782.038242,0.0,0.0,-0.011082395,0.015566223
1718737782.039355,0.0,0.0,-0.011073976,0.015184356
1718737782.040466,0.0,0.0,-0.011065639,0.014241614
1718737782.041028,0.0,0.0,-0.011057658,0.012927771
1718737782.042139,0.0,0.0,-0.011050312,0.011401689
1718737782.043251,0.0,0.0,-0.011043847,0.009800124
1718737782.044362,0.0,0.0,-0.011038436,0.008240404
1718737782.045474,0.0,0.0,-0.011034165,0.006820644
1718737782.046034,0.0,0.0,-0.011031023,0.005619254
1718737782.047147,0.0,0.0,-0.011028904,0.004694563
1718737782.048258,0.0,0.0,-0.011027621,0.004084935
1718737782.049371,0.0,0.0,-0.011026928,0.003809488
1718737782.049939,0.0,0.0,-0.011026535,0.003869417
1718737782.051049,0.0,0.0,-0.011026136,0.004249853
1718737782.052158,0.0,0.0,-0.011025428,0.004922131
1718737782.053273,0.0,0.0,-0.011055086,0.006503811
1718737782.054342,0.0,0.0,-0.011013037,-0.007104237
1718737782.055448,0.0,0.0,-0.01103079,-0.019203372
1718737782.056008,0.0,0.0,-0.011059429,-0.021963629
1718737782.05712,0.0,0.0,-0.011089883,-0.022139442
1718737782.058237,0.0,0.0,-0.011118958,-0.021044464
1718737782.059357,0.0,0.0,-0.011145048,-0.019173263
1718737782.059937,0.0,0.0,-0.011167324,-0.016820712
1718737782.061023,0.0,0.0,-0.01118546,-0.014204173
1718737782.062152,0.0,0.0,-0.011199476,-0.011499516
1718737782.06325,0.0,0.0,-0.011209638,-0.008853659
1718737782.064361,0.0,0.0,-0.011216378,-0.006388746
1718737782.065473,0.0,0.0,-0.011220222,-0.004203271
1718737782.066039,0.0,0.0,-0.011221749,-0.00237236
1718737782.067151,0.0,0.0,-0.011221546,-0.000948165
1718737782.068266,0.0,0.0,-0.011220185,3.9285e-05
1718737782.06941,0.0,0.0,-0.011218201,0.000580638
1718737782.069971,0.0,0.0,-0.011216077,0.000685239
1718737782.071086,0.0,0.0,-0.011214243,0.000378684
1718737782.072239,0.0,0.0,-0.011213062,-0.00029995
1718737782.073392,0.0,0.0,-0.011212834,-0.001301087
1718737782.073947,0.0,0.0,-0.011214521,-0.000934506
1718737782.075071,0.0,0.0,-0.011220112,-0.008995268
1718737782.076179,0.0,0.0,-0.011221236,-0.009012327
1718737782.077334,0.0,0.0,-0.011220286,-0.009532189
1718737782.078448,0.0,0.0,-0.011220016,-0.011239124
1718737782.079005,0.0,0.0,-0.011226284,-0.016667855
1718737782.080115,0.0,0.0,-0.011229958,-0.012456778
1718737782.081227,0.0,0.0,-0.011237703,-0.017746934
1718737782.082383,0.0,0.0,-0.011249728,-0.022666956
1718737782.083497,0.0,0.0,-0.011266006,-0.026420864
1718737782.084053,0.0,0.0,-0.011286207,-0.029083756
1718737782.085165,0.0,0.0,-0.011309715,-0.030790049
1718737782.08628,0.0,0.0,-0.011335721,-0.031655451
1718737782.087449,0.0,0.0,-0.011363324,-0.031781595
1718737782.088571,0.0,0.0,-0.011391622,-0.031265868
1718737782.089069,0.0,0.0,-0.011419773,-0.030206869
1718737782.090235,0.0,0.0,-0.01144705,-0.028705767
1718737782.091314,0.0,0.0,-0.011472861,-0.026865041
1718737782.092436,0.0,0.0,-0.01149677,-0.02478592
1718737782.092983,0.0,0.0,-0.011518491,-0.022565363
