__time,/effort_controller/commands/data[1],/joint_states/front_left_motor_joint/position
1718737782.000327,0.0,-0.010626723
1718737782.001441,0.0,-0.010626617
1718737782.002561,0.0,-0.010626969
1718737782.003121,0.0,-0.010627977
1718737782.004235,0.0,-0.010629821
1718737782.005346,0.0,-0.010633795
1718737782.006465,0.0,-0.010641189
1718737782.007024,0.0,-0.010643313
1718737782.008159,0.0,-0.010642765
1718737782.009259,0.0,-0.010646388
1718737782.010349,0.0,-0.010646149
1718737782.011463,0.0,-0.010648984
1718737782.012153,0.0,-0.010655736
1718737782.013169,0.0,-0.010666939
1718737782.014285,0.0,-0.010682673
1718737782.015408,0.0,-0.010702602
1718737782.016523,0.0,-0.010726088
1718737782.017087,0.0,-0.010752326
1718737782.0182,0.0,-0.010780449
1718737782.019312,0.0,-0.010809612
1718737782.020423,0.0,-0.010839052
1718737782.020994,0.0,-0.010868124
1718737782.022146,0.0,-0.010896323
1718737782.023275,0.0,-0.010923287
1718737782.024365,0.0,-0.01094879
1718737782.025477,0.0,-0.01097273
1718737782.026037,0.0,-0.010995104
1718737782.027149,0.0,-0.011015994
1718737782.02826,0.0,-0.011035536
1718737782.029371,0.0,-0.011053908
1718737782.030483,0.0,-0.011071308
1718737782.031044,0.0,-0.011087935
1718737782.032155,0.0,-0.011103985
1718737782.033268,0.0,-0.011116586
1718737782.034342,0.0,-0.0111129
1718737782.035455,0.0,-0.01110619
1718737782.036028,0.0,-0.011098648
1718737782.037131,0.0,-0.011090671
1718737782.038242,0.0,-0.011082395
1718737782.039355,0.0,-0.011073976
1718737782.040466,0.0,-0.011065639
1718737782.041028,0.0,-0.011057658
1718737782.042139,0.0,-0.011050312
1718737782.043251,0.0,-0.011043847
1718737782.044362,0.0,-0.011038436
1718737782.045474,0.0,-0.011034165
1718737782.046034,0.0,-0.011031023
1718737782.047147,0.0,-0.011028904
1718737782.048258,0.0,-0.011027621
1718737782.049371,0.0,-0.011026928
1718737782.049939,0.0,-0.011026535
1718737782.051049,0.0,-0.011026136
1718737782.052158,0.0,-0.011025428
1718737782.053273,0.0,-0.011055086
1718737782.054342,0.0,-0.011013037
1718737782.055448,0.0,-0.01103079
1718737782.056008,0.0,-0.011059429
1718737782.05712,0.0,-0.011089883
1718737782.058237,0.0,-0.011118958
1718737782.059357,0.0,-0.011145048
1718737782.059937,0.0,-0.011167324
1718737782.061023,0.0,-0.01118546
1718737782.062152,0.0,-0.011199476
1718737782.06325,0.0,-0.011209638
1718737782.064361,0.0,-0.011216378
1718737782.065473,0.0,-0.011220222
1718737782.066039,0.0,-0.011221749
1718737782.067151,0.0,-0.011221546
1718737782.068266,0.0,-0.011220185
1718737782.06941,0.0,-0.011218201
1718737782.069971,0.0,-0.011216077
1718737782.071086,0.0,-0.011214243
1718737782.072239,0.0,-0.011213062
1718737782.073392,0.0,-0.011212834
1718737782.073947,0.0,-0.011214521
1718737782.075071,0.0,-0.011220112
1718737782.076179,0.0,-0.011221236
1718737782.077334,0.0,-0.011220286
1718737782.078448,0.0,-0.011220016
1718737782.079005,0.0,-0.011226284
1718737782.080115,0.0,-0.011229958
1718737782.081227,0.0,-0.011237703
1718737782.082383,0.0,-0.011249728
1718737782.083497,0.0,-0.011266006
1718737782.084053,0.0,-0.011286207
1718737782.085165,0.0,-0.011309715
1718737782.08628,0.0,-0.011335721
1718737782.087449,0.0,-0.011363324
1718737782.088571,0.0,-0.011391622
1718737782.089069,0.0,-0.011419773
1718737782.090235,0.0,-0.01144705
1718737782.091314,0.0,-0.011472861
1718737782.092436,0.0,-0.01149677
1718737782.092983,0.0,-0.011518491
1718737782.094096,0.0,-0.01153788
1718737782.095209,0.0,-0.011554919
1718737782.096321,0.0,-0.011569695
1718737782.097449,0.0,-0.011582376
1718737782.098556,0.0,-0.011593186
1718737782.099112,0.0,-0.011602389
1718737782.100295,0.0,-0.011610264
1718737782.101399,0.0,-0.011613864
1718737782.10251,0.0,-0.011599966
1718737782.103069,0.0,-0.011582326
1718737782.10423,0.0,-0.011563436
1718737782.105348,0.0,-0.011543915
1718737782.106458,0.0,-0.011524063
1718737782.107023,0.0,-0.011504161
1718737782.108135,0.0,-0.011484527
1718737782.10925,0.0,-0.011465505
1718737782.110348,0.0,-0.011447425
1718737782.111462,0.0,-0.011430569
1718737782.112576,0.0,-0.01144008
1718737782.113131,0.0,-0.011390304
1718737782.114244,0.0,-0.01139881
1718737782.115361,0.0,-0.011419995
1718737782.116477,0.0,-0.011445258
1718737782.117041,0.0,-0.011471362
1718737782.118153,0.0,-0.011496467
1718737782.119265,0.0,-0.011519392
1718737782.120383,0.0,-0.011539388
1718737782.121541,0.0,-0.011556023
1718737782.122125,0.0,-0.011569107
1718737782.123492,0.0,-0.011578642
1718737782.124581,0.0,-0.011584772
1718737782.125705,0.0,-0.011587753
1718737782.126297,0.0,-0.011587921
1718737782.127412,0.0,-0.011585668
1718737782.128602,0.0,-0.011581425
1718737782.129165,0.0,-0.011575639
1718737782.130273,0.0,-0.011568765
1718737782.131424,0.0,-0.011561247
1718737782.132545,0.0,-0.011553511
1718737782.133094,0.0,-0.011545951
1718737782.134205,0.0,-0.011538921
1718737782.135323,0.0,-0.01153273
1718737782.136432,0.0,-0.011527638
1718737782.137562,0.0,-0.011523846
1718737782.138108,0.0,-0.011521502
1718737782.139213,0.0,-0.011520699
1718737782.140325,0.0,-0.011521973
1718737782.141437,0.0,-0.011527427
1718737782.142588,0.0,-0.011528548
1718737782.14315,0.0,-0.011527558
1718737782.144264,0.0,-0.011527054
1718737782.145376,0.0,-0.011532723
1718737782.146493,0.0,-0.011535362
1718737782.147063,0.0,-0.011541679
1718737782.148206,0.0,-0.011551823
1718737782.149359,0.0,-0.011565728
1718737782.150477,0.0,-0.011583065
1718737782.151627,0.0,-0.011603256
1718737782.15219,0.0,-0.011625558
1718737782.153352,0.0,-0.011649159
1718737782.154473,0.0,-0.011673251
1718737782.155592,0.0,-0.011697099
1718737782.156157,0.0,-0.011720075
1718737782.157278,0.0,-0.011741689
1718737782.158369,0.0,-0.011761591
1718737782.159521,0.0,-0.011779575
1718737782.160095,0.0,-0.011795567
1718737782.16126,0.0,-0.0118096
1718737782.162405,0.0,-0.011821801
1718737782.16357,0.0,-0.011832365
1718737782.164135,0.0,-0.011841529
1718737782.165333,0.0,-0.011846381
1718737782.166408,0.0,-0.011833774
1718737782.1677,0.0,-0.011817355
1718737782.168285,0.0,-0.011799631
1718737782.1694,0.0,-0.011781258
1718737782.170573,0.0,-0.011762581
1718737782.171406,0.0,-0.011743924
1718737782.172523,0.0,-0.011725645
1718737782.173686,0.0,-0.011733738
1718737782.174264,0.0,-0.011682247
1718737782.175467,0.0,-0.011688572
1718737782.176647,0.0,-0.011707806
1718737782.177237,0.0,-0.011731667
1718737782.178391,0.0,-0.011757162
1718737782.179521,0.0,-0.011782632
1718737782.180694,0.0,-0.01180701
1718737782.181281,0.0,-0.011829587
1718737782.182403,0.0,-0.011849901
1718737782.183555,0.0,-0.011867671
1718737782.184659,0.0,-0.011882755
1718737782.185231,0.0,-0.011895116
1718737782.186436,0.0,-0.011904802
1718737782.187573,0.0,-0.01191193
1718737782.188703,0.0,-0.011916672
1718737782.189299,0.0,-0.011919248
